"","age","marital","education","occupation","default","housing","contact","quarter","day","duration","campaign","pdays","previous","poutcome","y"
"26",35,"married",2,1,"no","no","telephone",0,1,99,1,999,0,"nonexistent","no"
"27",59,"married",NA,1,"no","yes","telephone",0,1,93,1,999,0,"nonexistent","no"
"28",39,"married",0,1,"unknown","no","telephone",0,1,233,1,999,0,"nonexistent","no"
"29",54,"single",2,1,"unknown","no","telephone",0,1,255,2,999,0,"nonexistent","no"
"30",55,"married",2,NA,"unknown","unknown","telephone",0,1,362,1,999,0,"nonexistent","no"
"31",46,"married",NA,1,"no","no","telephone",0,1,348,1,999,0,"nonexistent","no"
"32",59,"married",NA,1,"no","yes","telephone",0,1,386,1,999,0,"nonexistent","no"
"33",49,"married",NA,0,"no","no","telephone",0,1,73,1,999,0,"nonexistent","no"
"34",54,"married",0,1,"unknown","yes","telephone",0,1,230,1,999,0,"nonexistent","no"
"35",54,"divorced",0,0,"no","no","telephone",0,1,208,1,999,0,"nonexistent","no"
"36",55,"married",0,NA,"unknown","yes","telephone",0,1,336,1,999,0,"nonexistent","no"
"37",34,"married",1,0,"no","no","telephone",0,1,365,1,999,0,"nonexistent","no"
"38",52,"married",0,1,"no","yes","telephone",0,1,1666,1,999,0,"nonexistent","no"
"39",41,"married",2,1,"no","yes","telephone",0,1,577,1,999,0,"nonexistent","no"
"40",56,"married",0,1,"no","yes","telephone",0,1,137,1,999,0,"nonexistent","no"
"41",58,"unknown",2,1,"no","yes","telephone",0,1,366,1,999,0,"nonexistent","no"
"42",32,"married",1,1,"no","yes","telephone",0,1,314,1,999,0,"nonexistent","no"
"43",38,"single",2,1,"no","no","telephone",0,1,160,1,999,0,"nonexistent","no"
"44",57,"married",2,1,"no","no","telephone",0,1,212,1,999,0,"nonexistent","no"
"45",44,"married",2,1,"unknown","yes","telephone",0,1,188,1,999,0,"nonexistent","no"
"46",42,"single",2,1,"unknown","no","telephone",0,1,22,1,999,0,"nonexistent","no"
"47",57,"married",2,1,"no","yes","telephone",0,1,616,1,999,0,"nonexistent","no"
"48",40,"married",0,0,"no","no","telephone",0,1,178,1,999,0,"nonexistent","no"
"49",35,"married",2,1,"no","yes","telephone",0,1,355,1,999,0,"nonexistent","no"
"50",45,"married",0,0,"no","yes","telephone",0,1,225,2,999,0,"nonexistent","no"
"51",54,"married",1,1,"no","no","telephone",0,1,160,1,999,0,"nonexistent","no"
"52",39,"married",0,0,"no","no","telephone",0,1,266,1,999,0,"nonexistent","no"
"53",60,"married",1,1,"no","no","telephone",0,1,253,1,999,0,"nonexistent","no"
"54",53,"single",2,1,"no","no","telephone",0,1,179,1,999,0,"nonexistent","no"
"55",55,"married",0,0,"unknown","no","telephone",0,1,269,2,999,0,"nonexistent","no"
"56",55,"married",2,1,"unknown","yes","telephone",0,1,135,1,999,0,"nonexistent","no"
"57",50,"married",2,1,"unknown","no","telephone",0,1,161,1,999,0,"nonexistent","no"
"58",45,"married",1,0,"unknown","yes","telephone",0,1,787,1,999,0,"nonexistent","no"
"59",55,"married",2,2,"unknown","yes","telephone",0,1,145,1,999,0,"nonexistent","no"
"60",25,"single",2,1,"no","yes","telephone",0,1,174,1,999,0,"nonexistent","no"
"61",47,"married",2,1,"unknown","no","telephone",0,1,449,1,999,0,"nonexistent","no"
"62",51,"married",0,0,"no","yes","telephone",0,1,812,1,999,0,"nonexistent","no"
"63",42,"married",0,0,"unknown","yes","telephone",0,1,164,1,999,0,"nonexistent","no"
"64",42,"married",0,0,"unknown","no","telephone",0,1,366,1,999,0,"nonexistent","no"
"65",48,"married",1,1,"no","no","telephone",0,1,357,1,999,0,"nonexistent","no"
"66",37,"married",2,1,"no","no","telephone",0,1,232,1,999,0,"nonexistent","no"
"67",44,"single",0,0,"no","yes","telephone",0,1,91,1,999,0,"nonexistent","no"
"68",33,"married",NA,1,"no","yes","telephone",0,1,273,1,999,0,"nonexistent","no"
"69",56,"married",0,1,"no","yes","telephone",0,1,158,2,999,0,"nonexistent","no"
"70",44,"single",0,0,"unknown","yes","telephone",0,1,177,1,999,0,"nonexistent","no"
"71",41,"married",0,1,"no","no","telephone",0,1,200,1,999,0,"nonexistent","no"
"72",44,"divorced",2,1,"no","yes","telephone",0,1,172,1,999,0,"nonexistent","no"
"73",47,"married",2,1,"unknown","yes","telephone",0,1,176,1,999,0,"nonexistent","no"
"74",57,"married",NA,NA,"unknown","no","telephone",0,1,211,1,999,0,"nonexistent","no"
"75",37,"married",2,1,"unknown","yes","telephone",0,1,214,1,999,0,"nonexistent","no"
"76",41,"divorced",0,0,"unknown","yes","telephone",0,1,1575,1,999,0,"nonexistent","yes"
"77",55,"married",2,1,"no","no","telephone",0,1,349,1,999,0,"nonexistent","no"
"78",33,"married",1,0,"unknown","yes","telephone",0,1,337,2,999,0,"nonexistent","no"
"79",55,"married",NA,1,"unknown","yes","telephone",0,1,272,1,999,0,"nonexistent","no"
"80",42,"married",0,0,"unknown","no","telephone",0,1,208,1,999,0,"nonexistent","no"
"81",50,"married",0,0,"unknown","yes","telephone",0,1,193,1,999,0,"nonexistent","no"
"82",51,"married",0,0,"unknown","unknown","telephone",0,1,212,1,999,0,"nonexistent","no"
"83",38,"married",1,1,"unknown","no","telephone",0,1,165,2,999,0,"nonexistent","no"
"84",49,"married",2,1,"unknown","yes","telephone",0,1,1042,1,999,0,"nonexistent","yes"
"85",38,"single",2,1,"no","no","telephone",0,1,20,1,999,0,"nonexistent","no"
"86",31,"divorced",1,1,"no","no","telephone",0,1,246,1,999,0,"nonexistent","no"
"87",41,"married",0,1,"no","no","telephone",0,1,529,2,999,0,"nonexistent","no"
"88",39,"married",2,1,"no","yes","telephone",0,1,192,1,999,0,"nonexistent","no"
"89",49,"married",0,1,"no","no","telephone",0,1,1467,1,999,0,"nonexistent","yes"
"90",34,"married",1,1,"no","yes","telephone",0,1,188,2,999,0,"nonexistent","no"
"91",35,"married",2,1,"no","yes","telephone",0,1,180,2,999,0,"nonexistent","no"
"92",57,"married",NA,NA,"unknown","yes","telephone",0,1,48,1,999,0,"nonexistent","no"
"93",60,"married",NA,1,"unknown","no","telephone",0,1,213,2,999,0,"nonexistent","no"
"94",33,"married",0,2,"no","no","telephone",0,1,545,1,999,0,"nonexistent","no"
"95",42,"married",0,0,"no","no","telephone",0,1,583,1,999,0,"nonexistent","no"
"96",45,"married",2,0,"no","yes","telephone",0,1,221,1,999,0,"nonexistent","no"
"97",42,"married",2,1,"no","no","telephone",0,1,426,1,999,0,"nonexistent","no"
"98",53,"divorced",2,1,"unknown","no","telephone",0,1,287,1,999,0,"nonexistent","no"
"99",37,"single",2,1,"no","no","telephone",0,1,197,1,999,0,"nonexistent","no"
"100",44,"married",0,0,"no","no","telephone",0,1,257,1,999,0,"nonexistent","no"
"101",54,"married",NA,0,"no","yes","telephone",0,1,229,1,999,0,"nonexistent","no"
"102",49,"married",0,0,"no","no","telephone",0,1,55,3,999,0,"nonexistent","no"
"103",54,"married",NA,0,"no","no","telephone",0,1,400,1,999,0,"nonexistent","no"
"104",52,"divorced",2,1,"no","no","telephone",0,1,197,1,999,0,"nonexistent","no"
"105",52,"divorced",2,1,"no","no","telephone",0,1,190,1,999,0,"nonexistent","no"
"106",43,"single",1,0,"unknown","no","telephone",0,1,21,1,999,0,"nonexistent","no"
"107",34,"married",0,0,"no","yes","telephone",0,1,300,2,999,0,"nonexistent","no"
"108",35,"married",1,1,"no","yes","telephone",0,1,123,2,999,0,"nonexistent","no"
"109",42,"married",NA,1,"unknown","yes","telephone",0,1,293,1,999,0,"nonexistent","no"
"110",43,"married",NA,1,"unknown","yes","telephone",0,1,325,1,999,0,"nonexistent","no"
"111",60,"divorced",2,2,"unknown","no","telephone",0,1,514,1,999,0,"nonexistent","no"
"112",58,"married",0,2,"unknown","no","telephone",0,1,849,2,999,0,"nonexistent","no"
"113",35,"divorced",1,0,"no","yes","telephone",0,1,194,1,999,0,"nonexistent","no"
"114",55,"married",0,0,"unknown","yes","telephone",0,1,212,2,999,0,"nonexistent","no"
"115",37,"married",2,1,"no","no","telephone",0,1,337,2,999,0,"nonexistent","no"
"116",36,"married",1,0,"no","no","telephone",0,1,286,1,999,0,"nonexistent","no"
"117",52,"divorced",2,1,"no","no","telephone",0,1,247,2,999,0,"nonexistent","no"
"118",57,"divorced",NA,0,"unknown","yes","telephone",0,1,518,1,999,0,"nonexistent","no"
"119",56,"married",NA,1,"no","yes","telephone",0,1,364,1,999,0,"nonexistent","no"
"120",48,"divorced",0,0,"unknown","yes","telephone",0,1,178,1,999,0,"nonexistent","no"
"121",40,"married",1,0,"unknown","yes","telephone",0,1,98,1,999,0,"nonexistent","no"
"122",49,"divorced",1,0,"no","no","telephone",0,1,439,1,999,0,"nonexistent","no"
"123",41,"married",1,0,"no","no","telephone",0,1,139,1,999,0,"nonexistent","no"
"124",45,"married",1,1,"no","yes","telephone",0,1,79,1,999,0,"nonexistent","no"
"125",32,"married",2,1,"no","yes","telephone",0,1,175,1,999,0,"nonexistent","no"
"126",42,"married",2,1,"no","no","telephone",0,1,262,2,999,0,"nonexistent","no"
"127",50,"married",0,1,"no","no","telephone",0,1,61,1,999,0,"nonexistent","no"
"128",31,"divorced",2,1,"no","yes","telephone",0,1,78,1,999,0,"nonexistent","no"
"129",56,"married",0,2,"no","yes","telephone",0,1,102,2,999,0,"nonexistent","no"
"130",41,"married",2,1,"unknown","yes","telephone",0,1,579,1,999,0,"nonexistent","yes"
"131",37,"married",0,0,"no","yes","telephone",0,1,143,1,999,0,"nonexistent","no"
"132",41,"married",2,1,"unknown","no","telephone",0,1,677,1,999,0,"nonexistent","no"
"133",35,"married",NA,0,"no","yes","telephone",0,1,267,1,999,0,"nonexistent","no"
"134",37,"married",0,0,"no","yes","telephone",0,1,345,1,999,0,"nonexistent","no"
"135",52,"married",2,1,"no","no","telephone",0,1,185,1,999,0,"nonexistent","no"
"136",39,"divorced",2,1,"no","no","telephone",0,1,207,1,999,0,"nonexistent","no"
"137",39,"married",0,0,"unknown","no","telephone",0,1,69,2,999,0,"nonexistent","no"
"138",56,"married",0,0,"unknown","no","telephone",0,1,100,2,999,0,"nonexistent","no"
"139",34,"married",1,0,"no","yes","telephone",0,1,125,2,999,0,"nonexistent","no"
"140",45,"married",0,0,"unknown","yes","telephone",0,1,461,1,999,0,"nonexistent","yes"
"141",43,"single",2,2,"no","yes","telephone",0,1,240,1,999,0,"nonexistent","no"
"142",56,"married",NA,1,"no","yes","telephone",0,1,70,1,999,0,"nonexistent","no"
"143",39,"married",2,1,"no","yes","telephone",0,1,193,1,999,0,"nonexistent","no"
"144",53,"married",0,0,"no","yes","telephone",0,1,136,1,999,0,"nonexistent","no"
"145",38,"divorced",1,NA,"unknown","yes","telephone",0,1,73,1,999,0,"nonexistent","no"
"146",42,"married",0,0,"unknown","yes","telephone",0,1,528,1,999,0,"nonexistent","no"
"147",42,"married",0,0,"unknown","no","telephone",0,1,541,1,999,0,"nonexistent","no"
"148",35,"single",1,1,"no","yes","telephone",0,1,338,1,999,0,"nonexistent","no"
"149",40,"married",2,1,"unknown","yes","telephone",0,1,163,1,999,0,"nonexistent","no"
"150",51,"married",0,0,"no","yes","telephone",0,1,87,1,999,0,"nonexistent","no"
"151",60,"married",0,0,"unknown","no","telephone",0,1,301,1,999,0,"nonexistent","no"
"152",56,"married",NA,1,"unknown","yes","telephone",0,1,46,1,999,0,"nonexistent","no"
"153",39,"divorced",1,0,"unknown","yes","telephone",0,1,52,1,999,0,"nonexistent","no"
"154",56,"married",NA,1,"unknown","no","telephone",0,1,204,1,999,0,"nonexistent","no"
"155",40,"married",NA,0,"no","yes","telephone",0,1,155,1,999,0,"nonexistent","no"
"156",36,"married",0,0,"no","yes","telephone",0,1,98,1,999,0,"nonexistent","no"
"157",51,"married",NA,0,"unknown","yes","telephone",0,1,71,1,999,0,"nonexistent","no"
"158",51,"married",NA,0,"unknown","no","telephone",0,1,243,1,999,0,"nonexistent","no"
"159",43,"single",2,1,"no","yes","telephone",0,1,186,2,999,0,"nonexistent","no"
"160",59,"married",1,0,"no","no","telephone",0,1,579,2,999,0,"nonexistent","no"
"161",24,"single",2,1,"no","yes","telephone",0,1,165,2,999,0,"nonexistent","no"
"162",37,"single",0,0,"unknown","yes","telephone",0,1,163,2,999,0,"nonexistent","no"
"163",40,"married",0,0,"unknown","no","telephone",0,1,46,1,999,0,"nonexistent","no"
"164",42,"married",0,0,"unknown","no","telephone",0,1,559,3,999,0,"nonexistent","no"
"165",39,"divorced",1,0,"unknown","no","telephone",0,1,2033,1,999,0,"nonexistent","no"
"166",37,"married",0,1,"no","no","telephone",0,1,85,1,999,0,"nonexistent","no"
"167",38,"married",1,0,"no","yes","telephone",0,1,506,1,999,0,"nonexistent","no"
"168",56,"divorced",NA,1,"unknown","no","telephone",0,1,114,2,999,0,"nonexistent","no"
"169",40,"married",NA,0,"no","no","telephone",0,1,114,2,999,0,"nonexistent","no"
"170",54,"divorced",2,1,"no","yes","telephone",0,1,843,2,999,0,"nonexistent","no"
"171",43,"married",1,0,"unknown","no","telephone",0,1,181,1,999,0,"nonexistent","no"
"172",36,"married",1,0,"unknown","no","telephone",0,1,427,1,999,0,"nonexistent","no"
"173",45,"married",2,1,"no","yes","telephone",0,1,292,1,999,0,"nonexistent","no"
"174",42,"single",2,1,"unknown","no","telephone",0,1,192,1,999,0,"nonexistent","no"
"175",43,"married",1,0,"no","no","telephone",0,1,93,3,999,0,"nonexistent","no"
"176",46,"married",0,1,"no","no","telephone",0,1,128,2,999,0,"nonexistent","no"
"177",44,"married",1,0,"no","yes","telephone",0,1,107,1,999,0,"nonexistent","no"
"178",51,"single",0,1,"no","no","telephone",0,1,303,2,999,0,"nonexistent","no"
"179",28,"married",1,0,"no","yes","telephone",0,1,81,1,999,0,"nonexistent","no"
"180",37,"married",0,0,"no","no","telephone",0,1,270,1,999,0,"nonexistent","no"
"181",34,"married",1,1,"no","no","telephone",0,1,228,1,999,0,"nonexistent","no"
"182",46,"married",0,0,"unknown","yes","telephone",0,1,240,1,999,0,"nonexistent","no"
"183",42,"married",0,0,"no","yes","telephone",0,1,673,2,999,0,"nonexistent","yes"
"184",36,"married",2,1,"no","yes","telephone",0,1,233,3,999,0,"nonexistent","no"
"185",54,"married",0,0,"unknown","no","telephone",0,1,102,1,999,0,"nonexistent","no"
"186",57,"married",2,1,"no","no","telephone",0,1,461,1,999,0,"nonexistent","no"
"187",51,"married",0,1,"unknown","no","telephone",0,1,250,1,999,0,"nonexistent","no"
"188",54,"married",1,2,"unknown","no","telephone",0,1,130,1,999,0,"nonexistent","no"
"189",49,"married",0,0,"unknown","no","telephone",0,1,252,1,999,0,"nonexistent","no"
"190",34,"married",2,1,"no","yes","telephone",0,1,138,1,999,0,"nonexistent","no"
"191",41,"married",2,1,"no","no","telephone",0,1,412,1,999,0,"nonexistent","no"
"192",38,"single",0,0,"no","yes","telephone",0,1,179,2,999,0,"nonexistent","no"
"193",45,"divorced",2,1,"no","no","telephone",0,1,19,2,999,0,"nonexistent","no"
"194",42,"married",2,1,"no","no","telephone",0,1,228,2,999,0,"nonexistent","no"
"195",34,"single",0,0,"unknown","yes","telephone",0,1,55,1,999,0,"nonexistent","no"
"196",48,"married",0,0,"no","yes","telephone",0,1,717,1,999,0,"nonexistent","no"
"197",37,"married",1,1,"unknown","yes","telephone",0,1,313,1,999,0,"nonexistent","no"
"198",34,"single",0,0,"unknown","no","telephone",0,1,289,1,999,0,"nonexistent","no"
"199",40,"married",0,1,"unknown","yes","telephone",0,1,683,2,999,0,"nonexistent","no"
"200",43,"married",0,0,"no","yes","telephone",0,1,1077,1,999,0,"nonexistent","no"
"201",33,"married",1,0,"no","no","telephone",0,1,146,2,999,0,"nonexistent","no"
"202",32,"single",0,0,"no","no","telephone",0,1,167,1,999,0,"nonexistent","no"
"203",39,"married",1,0,"no","yes","telephone",0,1,356,2,999,0,"nonexistent","no"
"204",43,"married",NA,1,"no","no","telephone",0,1,277,1,999,0,"nonexistent","no"
"205",44,"married",0,0,"no","yes","telephone",0,1,172,1,999,0,"nonexistent","no"
"206",35,"single",2,2,"unknown","no","telephone",0,1,218,1,999,0,"nonexistent","no"
"207",35,"single",2,2,"unknown","yes","telephone",0,1,217,1,999,0,"nonexistent","no"
"208",35,"married",2,2,"no","no","telephone",0,1,67,1,999,0,"nonexistent","no"
"209",36,"single",0,0,"no","no","telephone",0,1,291,1,999,0,"nonexistent","no"
"210",35,"single",2,2,"unknown","yes","telephone",0,1,248,1,999,0,"nonexistent","no"
"211",36,"single",0,2,"no","yes","telephone",0,1,256,1,999,0,"nonexistent","no"
"212",55,"divorced",2,0,"no","no","telephone",0,1,286,1,999,0,"nonexistent","no"
"213",59,"married",2,1,"no","no","telephone",0,1,477,1,999,0,"nonexistent","no"
"214",57,"married",NA,2,"unknown","no","telephone",0,1,611,2,999,0,"nonexistent","no"
"215",39,"married",2,0,"unknown","yes","telephone",0,1,471,1,999,0,"nonexistent","no"
"216",39,"married",0,0,"unknown","yes","telephone",0,1,381,2,999,0,"nonexistent","no"
"217",30,"single",NA,0,"no","yes","telephone",0,1,251,1,999,0,"nonexistent","no"
"218",30,"single",NA,0,"no","yes","telephone",0,1,408,1,999,0,"nonexistent","no"
"219",50,"married",0,0,"unknown","no","telephone",0,1,287,1,999,0,"nonexistent","no"
"220",40,"married",1,0,"no","no","telephone",0,1,322,3,999,0,"nonexistent","no"
"221",35,"married",1,1,"no","yes","telephone",0,1,216,2,999,0,"nonexistent","no"
"222",43,"married",NA,1,"unknown","no","telephone",0,1,366,2,999,0,"nonexistent","no"
"223",36,"single",0,0,"unknown","yes","telephone",0,1,210,1,999,0,"nonexistent","no"
"224",46,"married",0,1,"unknown","yes","telephone",0,1,288,1,999,0,"nonexistent","no"
"225",40,"married",0,1,"no","no","telephone",0,1,168,1,999,0,"nonexistent","no"
"226",58,"married",2,2,"no","no","telephone",0,1,132,1,999,0,"nonexistent","no"
"227",42,"married",2,1,"no","no","telephone",0,1,64,2,999,0,"nonexistent","no"
"228",35,"single",2,1,"no","no","telephone",0,1,209,2,999,0,"nonexistent","no"
"229",43,"married",0,2,"unknown","no","telephone",0,1,410,3,999,0,"nonexistent","no"
"230",45,"married",0,0,"no","yes","telephone",0,1,177,1,999,0,"nonexistent","no"
"231",39,"married",2,1,"no","yes","telephone",0,1,580,2,999,0,"nonexistent","no"
"232",50,"divorced",2,0,"no","yes","telephone",0,1,165,1,999,0,"nonexistent","no"
"233",32,"divorced",0,1,"unknown","yes","telephone",0,1,127,2,999,0,"nonexistent","no"
"234",39,"married",1,1,"unknown","no","telephone",0,1,357,1,999,0,"nonexistent","no"
"235",52,"married",2,1,"unknown","no","telephone",0,1,175,1,999,0,"nonexistent","no"
"236",44,"married",2,1,"no","yes","telephone",0,1,300,1,999,0,"nonexistent","no"
"237",56,"married",0,0,"no","no","telephone",0,1,136,1,999,0,"nonexistent","no"
"238",48,"married",1,1,"no","no","telephone",0,1,125,2,999,0,"nonexistent","no"
"239",33,"married",1,0,"unknown","no","telephone",0,1,189,2,999,0,"nonexistent","no"
"240",43,"married",2,1,"unknown","no","telephone",0,1,213,3,999,0,"nonexistent","no"
"241",57,"married",1,2,"no","no","telephone",0,1,238,2,999,0,"nonexistent","no"
"242",36,"single",2,1,"no","no","telephone",0,1,124,1,999,0,"nonexistent","no"
"243",34,"married",2,1,"no","yes","telephone",0,1,18,1,999,0,"nonexistent","no"
"244",34,"single",0,0,"no","no","telephone",0,1,730,2,999,0,"nonexistent","no"
"245",30,"married",2,1,"unknown","no","telephone",0,1,40,1,999,0,"nonexistent","no"
"246",33,"divorced",NA,0,"no","no","telephone",0,1,181,2,999,0,"nonexistent","no"
"247",32,"single",2,1,"no","no","telephone",0,1,79,1,999,0,"nonexistent","no"
"248",36,"single",1,1,"no","yes","telephone",0,1,142,2,999,0,"nonexistent","no"
"249",36,"single",1,0,"no","no","telephone",0,1,389,1,999,0,"nonexistent","no"
"250",33,"single",1,0,"no","no","telephone",0,1,702,1,999,0,"nonexistent","no"
"251",40,"divorced",2,1,"no","no","telephone",0,1,151,1,999,0,"nonexistent","no"
"252",41,"married",0,0,"no","yes","telephone",0,1,211,1,999,0,"nonexistent","no"
"253",51,"married",0,0,"no","yes","telephone",0,1,117,1,999,0,"nonexistent","no"
"254",36,"married",2,1,"no","yes","telephone",0,1,232,3,999,0,"nonexistent","no"
"255",28,"married",NA,0,"no","no","telephone",0,1,408,2,999,0,"nonexistent","no"
"256",53,"married",1,0,"no","yes","telephone",0,1,370,3,999,0,"nonexistent","no"
"257",58,"married",0,0,"unknown","yes","telephone",0,1,179,2,999,0,"nonexistent","no"
"258",45,"married",0,1,"no","no","telephone",0,1,46,1,999,0,"nonexistent","no"
"259",43,"married",NA,1,"no","yes","telephone",0,1,200,1,999,0,"nonexistent","no"
"260",33,"married",1,1,"no","no","telephone",0,1,50,1,999,0,"nonexistent","no"
"261",33,"married",1,1,"no","no","telephone",0,1,181,1,999,0,"nonexistent","no"
"262",27,"single",0,0,"no","unknown","telephone",0,1,119,1,999,0,"nonexistent","no"
"263",42,"married",1,1,"no","no","telephone",0,1,361,1,999,0,"nonexistent","no"
"264",43,"divorced",0,1,"no","no","telephone",0,1,73,3,999,0,"nonexistent","no"
"265",42,"married",2,1,"no","no","telephone",0,1,67,2,999,0,"nonexistent","no"
"266",27,"single",0,0,"no","no","telephone",0,1,350,1,999,0,"nonexistent","no"
"267",34,"single",2,1,"no","yes","telephone",0,1,150,2,999,0,"nonexistent","no"
"268",31,"single",2,2,"unknown","no","telephone",0,1,332,2,999,0,"nonexistent","no"
"269",54,"divorced",2,1,"no","no","telephone",0,1,611,2,999,0,"nonexistent","no"
"270",40,"married",0,1,"unknown","no","telephone",0,1,58,3,999,0,"nonexistent","no"
"271",52,"married",1,2,"unknown","yes","telephone",0,1,151,1,999,0,"nonexistent","no"
"272",47,"divorced",2,1,"no","no","telephone",0,1,89,2,999,0,"nonexistent","no"
"273",49,"married",0,0,"unknown","no","telephone",0,1,152,1,999,0,"nonexistent","no"
"274",32,"single",1,1,"no","no","telephone",0,1,611,2,999,0,"nonexistent","no"
"275",49,"single",1,0,"unknown","yes","telephone",0,1,110,2,999,0,"nonexistent","no"
"276",50,"married",0,0,"unknown","no","telephone",0,1,463,1,999,0,"nonexistent","no"
"277",34,"married",1,0,"no","no","telephone",0,1,962,1,999,0,"nonexistent","no"
"278",55,"married",0,0,"unknown","no","telephone",0,1,102,2,999,0,"nonexistent","no"
"279",47,"single",0,1,"no","no","telephone",0,1,10,4,999,0,"nonexistent","no"
"280",51,"married",2,2,"no","no","telephone",0,1,118,3,999,0,"nonexistent","no"
"281",47,"married",0,0,"no","no","telephone",0,1,92,2,999,0,"nonexistent","no"
"282",56,"married",0,1,"no","yes","telephone",0,1,143,3,999,0,"nonexistent","no"
"283",53,"married",0,1,"no","no","telephone",0,1,189,3,999,0,"nonexistent","no"
"284",36,"married",0,0,"no","yes","telephone",0,1,75,2,999,0,"nonexistent","no"
"285",42,"divorced",0,0,"no","yes","telephone",0,1,189,2,999,0,"nonexistent","no"
"286",44,"divorced",0,0,"no","no","telephone",0,1,55,2,999,0,"nonexistent","no"
"287",39,"married",0,0,"no","yes","telephone",0,1,935,3,999,0,"nonexistent","yes"
"288",37,"single",1,1,"no","yes","telephone",0,1,56,2,999,0,"nonexistent","no"
"289",60,"married",NA,0,"unknown","yes","telephone",0,1,5,2,999,0,"nonexistent","no"
"290",36,"married",1,0,"no","no","telephone",0,1,225,2,999,0,"nonexistent","no"
"291",42,"divorced",2,1,"no","yes","telephone",0,1,125,2,999,0,"nonexistent","no"
"292",31,"married",1,1,"no","yes","telephone",0,1,286,2,999,0,"nonexistent","no"
"293",53,"divorced",2,1,"unknown","no","telephone",0,1,206,2,999,0,"nonexistent","no"
"294",45,"married",0,0,"no","yes","telephone",0,1,164,2,999,0,"nonexistent","no"
"295",37,"single",2,1,"no","yes","telephone",0,1,98,2,999,0,"nonexistent","no"
"296",47,"married",2,1,"no","no","telephone",0,1,446,2,999,0,"nonexistent","no"
"297",49,"divorced",1,0,"no","no","telephone",0,1,742,2,999,0,"nonexistent","no"
"298",36,"married",2,1,"no","yes","telephone",0,1,120,2,999,0,"nonexistent","no"
"299",35,"divorced",1,0,"no","no","telephone",0,1,122,3,999,0,"nonexistent","no"
"300",38,"married",NA,NA,"unknown","no","telephone",0,1,362,4,999,0,"nonexistent","no"
"301",38,"single",1,0,"unknown","no","telephone",0,1,357,2,999,0,"nonexistent","no"
"302",50,"divorced",1,0,"unknown","no","telephone",0,1,200,2,999,0,"nonexistent","no"
"303",59,"married",2,2,"unknown","no","telephone",0,1,107,2,999,0,"nonexistent","no"
"304",43,"married",NA,NA,"no","yes","telephone",0,1,267,2,999,0,"nonexistent","no"
"305",42,"married",1,1,"no","yes","telephone",0,1,248,2,999,0,"nonexistent","no"
"306",40,"married",0,1,"unknown","yes","telephone",0,1,215,2,999,0,"nonexistent","no"
"307",46,"married",NA,0,"unknown","no","telephone",0,1,209,2,999,0,"nonexistent","no"
"308",57,"divorced",0,0,"no","yes","telephone",0,1,205,2,999,0,"nonexistent","no"
"309",42,"married",2,1,"no","yes","telephone",0,1,261,3,999,0,"nonexistent","no"
"310",41,"married",0,0,"no","yes","telephone",0,1,83,2,999,0,"nonexistent","no"
"311",54,"divorced",2,1,"no","yes","telephone",0,1,106,3,999,0,"nonexistent","no"
